system,source_path,feature_base,mbid,raga_id,raga,artist,album,composition,track_name,skip_reason,has_pitch,has_tonic
Carnatic,RagaDataset/Carnatic/audio/e8a0bf54-13c6-4a09-922a-bfc744ddf38a/K__V__Narayanaswami/K__V__Narayanaswami_Home_Concert_at_New_York_USA_1975/Seshachala_Nayakam/Seshachala_Nayakam,C:\Users\yagni\Downloads\Carnatic-project\Indian Art Music Raga Recognition Dataset (features)\RagaDataset\Carnatic\features\e8a0bf54-13c6-4a09-922a-bfc744ddf38a\K__V__Narayanaswami\K__V__Narayanaswami_Home_Concert_at_New_York_USA_1975\Seshachala_Nayakam\Seshachala_Nayakam,c73d9043-f739-4a6e-887f-be32ddde73a7,e8a0bf54-13c6-4a09-922a-bfc744ddf38a,Varāḷi,K__V__Narayanaswami,K__V__Narayanaswami_Home_Concert_at_New_York_USA_1975,Seshachala_Nayakam,Seshachala_Nayakam,missing_pitch_or_tonic,0,0
Carnatic,RagaDataset/Carnatic/audio/700e1d92-7094-4c21-8a3b-d7b60c550edf/Sanjay_Subrahmanyan/December_Season_2010/Aadum_Mayilai_Karpagambikai_-_Viruttam/Aadum_Mayilai_Karpagambikai_-_Viruttam,C:\Users\yagni\Downloads\Carnatic-project\Indian Art Music Raga Recognition Dataset (features)\RagaDataset\Carnatic\features\700e1d92-7094-4c21-8a3b-d7b60c550edf\Sanjay_Subrahmanyan\December_Season_2010\Aadum_Mayilai_Karpagambikai_-_Viruttam\Aadum_Mayilai_Karpagambikai_-_Viruttam,0e669af6-ca69-4b46-9e1d-1720c67b1507,700e1d92-7094-4c21-8a3b-d7b60c550edf,Behāg,Sanjay_Subrahmanyan,December_Season_2010,Aadum_Mayilai_Karpagambikai_-_Viruttam,Aadum_Mayilai_Karpagambikai_-_Viruttam,missing_pitch_or_tonic,0,0
Carnatic,RagaDataset/Carnatic/audio/5ce23030-f71d-4f5d-9d76-f91c2c182392/Gayathri_Venkataraghavan/December_Season_2005/Kundram_Endi_-_Balakrishnan_Pada_Malar/Kundram_Endi_-_Balakrishnan_Pada_Malar,C:\Users\yagni\Downloads\Carnatic-project\Indian Art Music Raga Recognition Dataset (features)\RagaDataset\Carnatic\features\5ce23030-f71d-4f5d-9d76-f91c2c182392\Gayathri_Venkataraghavan\December_Season_2005\Kundram_Endi_-_Balakrishnan_Pada_Malar\Kundram_Endi_-_Balakrishnan_Pada_Malar,4bed9a94-ebd7-4c2f-a6de-a630c5bfff1d,5ce23030-f71d-4f5d-9d76-f91c2c182392,Dhanyāsi,Gayathri_Venkataraghavan,December_Season_2005,Kundram_Endi_-_Balakrishnan_Pada_Malar,Kundram_Endi_-_Balakrishnan_Pada_Malar,missing_pitch_or_tonic,0,0
Carnatic,RagaDataset/Carnatic/audio/6345e8fe-7061-4bdc-842c-dcfd4a379820/K__V__Narayanaswami/Master_Piece_-_Live_Concert_at_Sri_Krishna_Gana_Sabha_Vol_I/Elani_Dayaradu/Elani_Dayaradu,C:\Users\yagni\Downloads\Carnatic-project\Indian Art Music Raga Recognition Dataset (features)\RagaDataset\Carnatic\features\6345e8fe-7061-4bdc-842c-dcfd4a379820\K__V__Narayanaswami\Master_Piece_-_Live_Concert_at_Sri_Krishna_Gana_Sabha_Vol_I\Elani_Dayaradu\Elani_Dayaradu,5c1ae6ac-ada7-45df-b807-812a81f20cad,6345e8fe-7061-4bdc-842c-dcfd4a379820,Aṭāna,K__V__Narayanaswami,Master_Piece_-_Live_Concert_at_Sri_Krishna_Gana_Sabha_Vol_I,Elani_Dayaradu,Elani_Dayaradu,missing_pitch_or_tonic,0,0
Carnatic,RagaDataset/Carnatic/audio/839bb6b4-1577-4a78-9e5d-4906c6453274/K__V__Narayanaswami/Master_Piece_-_Live_Concert_at_Sri_Krishna_Gana_Sabha_Vol_III/Ethuku_Ithanai/Ethuku_Ithanai,C:\Users\yagni\Downloads\Carnatic-project\Indian Art Music Raga Recognition Dataset (features)\RagaDataset\Carnatic\features\839bb6b4-1577-4a78-9e5d-4906c6453274\K__V__Narayanaswami\Master_Piece_-_Live_Concert_at_Sri_Krishna_Gana_Sabha_Vol_III\Ethuku_Ithanai\Ethuku_Ithanai,9aa2770a-c170-4db9-9657-14a74024bc31,839bb6b4-1577-4a78-9e5d-4906c6453274,Suraṭi,K__V__Narayanaswami,Master_Piece_-_Live_Concert_at_Sri_Krishna_Gana_Sabha_Vol_III,Ethuku_Ithanai,Ethuku_Ithanai,missing_pitch_or_tonic,0,0
Carnatic,RagaDataset/Carnatic/audio/18b1acb9-dff6-47ec-873a-b2086c8d268d/Cherthala_Ranganatha_Sharma/Cherthala_Ranganatha_Sharma_at_Arkay/Shlokam_-_Shivah_Shaktyayukto/Shlokam_-_Shivah_Shaktyayukto,C:\Users\yagni\Downloads\Carnatic-project\Indian Art Music Raga Recognition Dataset (features)\RagaDataset\Carnatic\features\18b1acb9-dff6-47ec-873a-b2086c8d268d\Cherthala_Ranganatha_Sharma\Cherthala_Ranganatha_Sharma_at_Arkay\Shlokam_-_Shivah_Shaktyayukto\Shlokam_-_Shivah_Shaktyayukto,ac58786c-3938-4d93-9e9f-bbc3a56265fa,18b1acb9-dff6-47ec-873a-b2086c8d268d,Madhyamāvati,Cherthala_Ranganatha_Sharma,Cherthala_Ranganatha_Sharma_at_Arkay,Shlokam_-_Shivah_Shaktyayukto,Shlokam_-_Shivah_Shaktyayukto,missing_pitch_or_tonic,0,0
Carnatic,RagaDataset/Carnatic/audio/f972db4d-5d16-4f9a-9841-f313e1601aaa/K__V__Narayanaswami/K__V__Narayanaswami_concert_at_Bangalore_1987/Sreenivasa_Thavacharanam/Sreenivasa_Thavacharanam,C:\Users\yagni\Downloads\Carnatic-project\Indian Art Music Raga Recognition Dataset (features)\RagaDataset\Carnatic\features\f972db4d-5d16-4f9a-9841-f313e1601aaa\K__V__Narayanaswami\K__V__Narayanaswami_concert_at_Bangalore_1987\Sreenivasa_Thavacharanam\Sreenivasa_Thavacharanam,df2dc1bd-538c-4559-8603-6c6277150872,f972db4d-5d16-4f9a-9841-f313e1601aaa,Karaharapriya,K__V__Narayanaswami,K__V__Narayanaswami_concert_at_Bangalore_1987,Sreenivasa_Thavacharanam,Sreenivasa_Thavacharanam,missing_pitch_or_tonic,0,0
Carnatic,RagaDataset/Carnatic/audio/bf4662d4-25c3-4cad-9249-4de2dc513c06/Tanjore_S_Kalyanaraman/Tanjore_S_KALYANARAMAN_Live_in_concert-1972-vol_I_and_vol_II/Talli_Ninnu_Nera/Talli_Ninnu_Nera,C:\Users\yagni\Downloads\Carnatic-project\Indian Art Music Raga Recognition Dataset (features)\RagaDataset\Carnatic\features\bf4662d4-25c3-4cad-9249-4de2dc513c06\Tanjore_S_Kalyanaraman\Tanjore_S_KALYANARAMAN_Live_in_concert-1972-vol_I_and_vol_II\Talli_Ninnu_Nera\Talli_Ninnu_Nera,2ea6cabb-a422-4c1b-8f0b-752cbe68a5d4,bf4662d4-25c3-4cad-9249-4de2dc513c06,Kalyāṇi,Tanjore_S_Kalyanaraman,Tanjore_S_KALYANARAMAN_Live_in_concert-1972-vol_I_and_vol_II,Talli_Ninnu_Nera,Talli_Ninnu_Nera,missing_pitch_or_tonic,0,0
Carnatic,RagaDataset/Carnatic/audio/123b09bd-9901-4e64-a65a-10b02c9e0597/T__M__Krishna/December_Season_2009/Balagopala_Special_Note_by_T_M_Krishna/Balagopala_Special_Note_by_T_M_Krishna,C:\Users\yagni\Downloads\Carnatic-project\Indian Art Music Raga Recognition Dataset (features)\RagaDataset\Carnatic\features\123b09bd-9901-4e64-a65a-10b02c9e0597\T__M__Krishna\December_Season_2009\Balagopala_Special_Note_by_T_M_Krishna\Balagopala_Special_Note_by_T_M_Krishna,66388b2a-d7d5-44d1-8464-4b5eeff1af6a,123b09bd-9901-4e64-a65a-10b02c9e0597,Bhairavi,T__M__Krishna,December_Season_2009,Balagopala_Special_Note_by_T_M_Krishna,Balagopala_Special_Note_by_T_M_Krishna,missing_pitch_or_tonic,0,0
Carnatic,RagaDataset/Carnatic/audio/9a071e54-3eed-48b2-83a3-1a3fd683b8e0/Sanjay_Subrahmanyan/December_Season_2002/Ka_va_va_Velava_Ten_Pazhani_Malai_Muruga_Va/Ka_va_va_Velava_Ten_Pazhani_Malai_Muruga_Va,C:\Users\yagni\Downloads\Carnatic-project\Indian Art Music Raga Recognition Dataset (features)\RagaDataset\Carnatic\features\9a071e54-3eed-48b2-83a3-1a3fd683b8e0\Sanjay_Subrahmanyan\December_Season_2002\Ka_va_va_Velava_Ten_Pazhani_Malai_Muruga_Va\Ka_va_va_Velava_Ten_Pazhani_Malai_Muruga_Va,f807bd1b-f80b-4d0f-b7a7-984ef7b0599c,9a071e54-3eed-48b2-83a3-1a3fd683b8e0,Kānaḍa,Sanjay_Subrahmanyan,December_Season_2002,Ka_va_va_Velava_Ten_Pazhani_Malai_Muruga_Va,Ka_va_va_Velava_Ten_Pazhani_Malai_Muruga_Va,missing_pitch_or_tonic,0,0
