Method,Recall@10,MRR,nDCG@10,Avg_Layers,Compute_%,Latency_ms,Quality_Drop_%
Fixed (L1),0.0007,0.0006,0.0004,1.0,8.3,13.8,99.94444444444444
Fixed (L2),0.0007,0.0005,0.0004,2.0,16.7,8.12,99.94444444444444
Adaptive (strict),0.0007,0.0005,0.0004,2.0,16.7,4.26,99.94444444444444
Adaptive (medium),0.0007,0.0005,0.0004,2.0,16.7,3.29,99.94444444444444
Adaptive (aggressive),0.0007,0.0005,0.0004,2.0,16.7,3.38,99.94444444444444
Adaptive (tau_0.70),0.0007,0.0005,0.0004,2.0,16.7,3.69,99.94444444444444
Adaptive (tau_0.75),0.0007,0.0005,0.0004,2.0,16.7,3.21,99.94444444444444
Adaptive (tau_0.80),0.0007,0.0005,0.0004,2.0,16.7,3.12,99.94444444444444
Adaptive (tau_0.90),0.0007,0.0005,0.0004,2.0,16.7,3.43,99.94444444444444
Adaptive (tau_0.95),0.0007,0.0005,0.0004,2.0,16.7,4.08,99.94444444444444
Adaptive (tau_0.97),0.0007,0.0005,0.0004,2.0,16.7,4.11,99.94444444444444
Adaptive (tau_0.99),0.0007,0.0005,0.0004,2.0,16.7,3.6,99.94444444444444
Fixed (L3),0.0073,0.001,0.0023,3.0,25.0,10.51,99.68055555555554
Fixed (L4),0.0007,0.0004,0.0004,4.0,33.3,15.12,99.94444444444444
Fixed (L5),0.0073,0.001,0.0023,5.0,41.7,14.05,99.68055555555554
Fixed (L6),0.0073,0.001,0.0023,6.0,50.0,15.4,99.68055555555554
Fixed (L7),0.0007,0.0006,0.0004,7.0,58.3,14.82,99.94444444444444
Fixed (L8),0.0067,0.0011,0.0024,8.0,66.7,12.78,99.66666666666667
Fixed (L9),0.0,0.0,0.0,9.0,75.0,11.26,100.0
Fixed (L10),0.2169,0.1061,0.1298,10.0,83.3,12.15,81.97222222222223
Fixed (L11),0.7512,0.6002,0.63,11.0,91.7,13.1,12.5
Baseline,0.8452,0.6845,0.72,12,100.0,0,0.0
Fixed (L12),0.8452,0.6845,0.72,12.0,100.0,11.9,0.0
Adaptive (tau_1.00),0.8452,0.6845,0.72,12.0,100.0,17.72,0.0
