layer,Recall@1,Recall@5,Recall@10,MRR,nDCG@10,compute_pct,median_latency_ms
1,0.0,0.0,0.0007,0.0006,0.0004,8.3,13.8
2,0.0,0.0,0.0007,0.0005,0.0004,16.7,8.12
3,0.0,0.0,0.0073,0.001,0.0023,25.0,10.51
4,0.0,0.0,0.0007,0.0004,0.0004,33.3,15.12
5,0.0,0.0,0.0073,0.001,0.0023,41.7,14.05
6,0.0,0.0,0.0073,0.001,0.0023,50.0,15.4
7,0.0,0.0,0.0007,0.0006,0.0004,58.3,14.82
8,0.0,0.0,0.0067,0.0011,0.0024,66.7,12.78
9,0.0,0.0,0.0,0.0,0.0,75.0,11.26
10,0.0508,0.1674,0.2169,0.1061,0.1298,83.3,12.15
11,0.4865,0.7081,0.7512,0.6002,0.63,91.7,13.1
12,0.5787,0.7653,0.8452,0.6845,0.72,100.0,11.9
